,trend,total_volume,social_buzz
847,graphic dress,6160.0,3
848,calf hair flats,4420.0,3
849,twill leggings,3680.0,7
850,tailored clothing,5940.0,3
851,woven sandals,19640.0,12
852,mens tapered pants,4050.0,0
853,linen jumpsuit,11140.0,13
854,triangle drop earrings,3070.0,4
855,linen tie,12650.0,11
856,clay pack,5940.0,2
857,petite tee,5090.0,1
858,performance pullover,1800.0,1
859,medium wash jeans,5100.0,2
860,round toe flats,6300.0,1
861,acrylic gloves,3320.0,0
862,gradient lens,9100.0,3
863,plus size work dress,2720.0,0
864,cap sleeve gown,8100.0,3
865,tokion,4760.0,14
866,zebra sweater,3950.0,0
867,zebra skirt,7920.0,0
868,dry patches,4640.0,19
869,plus size jean,5380.0,3
870,tassel bag charm,3030.0,4
871,animal print bikini,13650.0,0
872,crepe jacket,10710.0,3
873,crowsfeet,5410.0,1
874,mens wool blend coat,2450.0,0
875,studded tote,5710.0,4
876,mens rimless sunglasses,8170.0,0
