"code","name","search","link","ssname","ssid","rid","rname"
"alaiaperfume","Alaia Perfume","alaia perfume","http://www.alaia.fr/en/perfume/perfume.html",,,,
"alainsiberstein","Alain Siberstein","alain siberstein","http://www.a-silberstein.fr/",,,,
"alanazimmer","Alana Zimmer","alana zimmer","http://www.supermodels.nl/alanazimmer",,,,
"alanflusser","Alan Flusser","alan flusser","http://www.alanflusser.com/",,,,
"alangesohne","A. Lange & Sohne","a. lange and sohne","http://www.alange-soehne.com/",,,,
"alanmaramag","Alan Maramag","alan maramag","http://www.sfgate.com/style/article/alan-maramag-adds-a-bold-touch-to-neo-dandy-look-5629691.php",,,,
"alara","Alara","alara","https://www.alarashirt.com/","Alara","685",,
"alaskaairlines","Alaska Airlines","alaska airlines","https://www.alaskaair.com/",,,,
"alastairmckimm","Alastair McKimm","art and commerce","http://www.artandcommerce.com/",,,,
"albabotanica","Alba Botanica","alba botanica","https://www.albabotanica.com/","Alba Botanica","5735",,
"albarosa","Alba Rosa","alba rosa","http://www.albarosa.co.jp/","Alba Rosa","20102",,
"albertaferretti","Alberta Ferretti","alberta ferretti","http://www.albertaferretti.com","Alberta Ferretti","2700",,
"alberto","Alberto","alberto","http://albertocollections.com/",,,,
"albertofermani","Alberto Fermani","alberto fermani","http://www.albertofermani.com","Alberto Fermani","17874",,
"albertoguardiani","Alberto Guardiani","alberto guardiani","http://store.albertoguardiani.com/","Alberto Guardiani","12123",,
"albertusswanepoel","ALBERTUS SWANEPOEL","albertus swanepoel","http://www.albertusswanepoel.com/",,,,
"albino","Albino","albino","http://www.maisonalbino.com","Albino","12124",,
"alc","A.L.C.","a.l.c.","http://www.alcltd.com","A.L.C.","18354",,
"alcatel","Alcatel","alcatel","http://www.alcatelonetouch.us/",,,,
"alchimieforever","Alchimie Forever","alchimie forever","http://www.alchimie-forever.com/","Alchimie Forever","4088",,
"alden","alden","alden","http://www.aldenshoe.com/","Alden","8088",,
"aldies","Aldies","aldies","http://aldies.shop-pro.jp/",,,,
"aldoshoes","Aldo Shoes","aldo shoes","http://www.aldoshoes.com","Aldo","4089",,
"alebyalessandra","ale by alessandra","ale by alessandra","http://www.alebyalessandra.com/",,,,
"alegriashoes","Alegria","alegria shoes","http://www.alegriashoes.com","Alegria","26064",,
"alejandroingelmo","Alejandro Ingelmo","alejandro ingelmo","http://www.alejandroingelmo.com","Alejandro Ingelmo","2701",,
"alemdara","Alemdara","alemdara","http://alemdara.com/",,,,
"alessandraambrosio","Alessandra Ambrosio","alessandra ambrosio","http://alessandraambrosio.com/",,,,
"alessandrarich","Alessandra Rich","alessandra rich","http://www.alessandrarich.com/",,,,
"alessandrodebenedetti","Alessandro De Benedetti","alessandro de benedetti","http://alessandrodebenedetti.com/","Alessandro De Benedetti","12125",,
"alessandrodellacqua","Alessandro Dell'Acqua","alessandro dell'acqua","http://www.alessandrodellacqua.com/","Alessandro Dell'Acqua","6313",,
"alessandrointernational","Alessandro International","alessandro international","http://www.alessandro-international.us",,,,
"alessi","Alessi","alessi","http://store.alessi.com","Alessi","4513",,
"alexachung","Alexa Chung","alexa chung","http://www.mytheresa.com/en-de/alexa-chung-for-ag.html?block=5",,,,
"alexalosey","Alexa Losey","alexa losey","https://www.youtube.com/user/smokeypinkleopard",,,,
"alexandalexa","Alex and Alexa","alex and alexa","http://www.alexandalexa.com/",,,"1407","AlexandAlexa"
